gmat,per
800,99%
790,99%
780,99%
770,99%
760,99%
750,98%
740,97%
730,96%
720,94%
710,91%
700,88%
690,85%
680,82%
670,80%
660,77%
650,73%
640,67%
630,65%
620,62%
610,58%
600,54%
590,51%
580,47%
570,44%
560,41%
550,38%
540,35%
530,31%
520,30%
510,27%
500,25%
490,23%
480,21%
470,19%
460,17%
450,15%
440,14%
430,13%
420,12%
410,10%
400,9%
390,8%
380,8%
370,7%
360,6%
350,5%
340,5%
330,4%
320,4%
310,3%
300,3%
290,2%
280,2%
270,2%
260,2%
250,1%
240,1%
230,1%
220,1%
210,0%
200,0%
564.84,